host_time_s,chA_raw,chB_env
1784841159.5542,38,2025
1784841159.5551,1746,2035
1784841159.5561,1746,2068
1784841159.5570,1713,2060
1784841159.5580,1730,2056
1784841159.5589,1739,2059
1784841159.5614,1740,2056
1784841159.5640,1735,2021
1784841159.5665,1738,2050
1784841159.5690,1746,2045
1784841159.5715,1746,2053
1784841159.5734,1743,2049
1784841159.5753,1743,2048
1784841159.5772,1729,2046
1784841159.5791,1740,2051
1784841159.5809,1731,2040
1784841159.5828,1735,2035
1784841159.5848,1731,2033
1784841159.5867,1741,2047
1784841159.5887,1739,2033
1784841159.5906,1733,2030
1784841159.5926,1741,2043
1784841159.5945,1734,2056
1784841159.5965,1729,2052
1784841159.5984,1723,2047
1784841159.6003,1725,2048
1784841159.6022,1733,2051
1784841159.6042,1736,2045
1784841159.6061,1738,2045
1784841159.6081,1742,2046
1784841159.6101,1746,2045
1784841159.6121,1740,2049
1784841159.6141,1728,2061
1784841159.6161,1714,2055
1784841159.6181,1727,2052
1784841159.6203,1732,2051
1784841159.6225,1728,2051
1784841159.6247,1729,2050
1784841159.6269,1736,2069
1784841159.6291,1742,2043
1784841159.6398,1742,2048
1784841159.6400,1735,2062
1784841159.6401,1737,2053
1784841159.6403,1728,2064
1784841159.6405,1731,2017
1784841159.6407,1720,2049
1784841159.6427,1729,2041
1784841159.6448,1742,2061
1784841159.6468,1744,2054
1784841159.6488,1734,2049
1784841159.6509,1740,2045
1784841159.6529,1743,2047
1784841159.6557,1740,2061
1784841159.6585,1721,2054
1784841159.6613,1727,2059
1784841159.6641,1737,2056
1784841159.6668,1734,2042
1784841159.6696,1730,2057
1784841159.6707,1734,2054
1784841159.6717,1738,2043
1784841159.6728,1744,2049
1784841159.6738,1742,2054
1784841159.6749,1743,2066
1784841159.6759,1726,2063
1784841159.6777,1732,2051
1784841159.6794,1726,2049
1784841159.6812,1729,2052
1784841159.6830,1733,2049
1784841159.6848,1744,2051
1784841159.6865,1741,2059
1784841159.6889,1739,2051
1784841159.6912,1744,2053
1784841159.6935,1771,2064
1784841159.6958,1723,2062
1784841159.6982,1717,2093
1784841159.7048,1728,2062
1784841159.7114,1741,2064
1784841159.7180,1735,2055
1784841159.7246,1733,2058
1784841159.7312,1737,2095
1784841159.7378,1743,2062
1784841159.7378,1748,2064
1784841159.7379,1737,2057
1784841159.7380,1725,2086
1784841159.7380,1729,2045
1784841159.7381,1735,2060
1784841159.7382,1728,2044
1784841159.7382,1733,2044
1784841159.7383,1742,2028
1784841159.7384,1744,2037
1784841159.7384,1746,2045
1784841159.7385,1737,2047
1784841159.7386,1725,2060
1784841159.7401,1724,2059
1784841159.7417,1725,2049
1784841159.7433,1726,2039
1784841159.7448,1734,2044
1784841159.7464,1741,2058
1784841159.7480,1740,2044
1784841159.7497,1734,2044
1784841159.7514,1740,2042
1784841159.7531,1750,2023
1784841159.7548,1746,2065
1784841159.7565,1724,2065
1784841159.7676,1726,2061
1784841159.7678,1715,2066
1784841159.7680,1735,2054
1784841159.7681,1734,2063
1784841159.7683,1739,2063
1784841159.7685,1740,2052
1784841159.7705,1758,2045
1784841159.7725,1746,2054
1784841159.7745,1742,2054
1784841159.7766,1746,2043
1784841159.7786,1903,2070
1784841159.7806,1726,2065
1784841159.7827,1722,2062
1784841159.7847,1728,2064
1784841159.7867,1737,2060
1784841159.7888,1733,2052
1784841159.7908,1728,2056
1784841159.7928,1739,2062
1784841159.7949,1734,2044
1784841159.7969,1722,2047
1784841159.7989,1717,2056
1784841159.8010,1726,2060
1784841159.8030,1727,2051
1784841159.8050,1738,2047
1784841159.8071,1736,2047
1784841159.8091,1735,2045
1784841159.8111,1746,2048
1784841159.8132,1737,2058
1784841159.8152,1751,2046
1784841159.8172,1719,2043
1784841159.8193,1734,2053
1784841159.8213,1740,1995
1784841159.8233,1736,2042
1784841159.8253,1735,2045
1784841159.8274,1739,2040
1784841159.8294,1743,2046
1784841159.8314,1742,2037
1784841159.8335,1740,2047
1784841159.8355,1743,2053
1784841159.8375,1744,2052
1784841159.8396,1713,2049
1784841159.8416,1722,2052
1784841159.8436,1730,2055
1784841159.8457,1740,2044
1784841159.8477,1740,2043
1784841159.8497,1737,2036
1784841159.8518,1741,2034
1784841159.8538,1745,2056
1784841159.8558,1746,2057
1784841159.8579,1727,2052
1784841159.8599,1721,2050
1784841159.8619,1731,2057
1784841159.8640,1739,2053
1784841159.8660,1731,2050
1784841159.8680,1735,2046
1784841159.8701,1739,2048
1784841159.8721,1750,2041
1784841159.8741,1745,2052
1784841159.8761,1736,2054
1784841159.8782,1729,2052
1784841159.8802,1740,2039
1784841159.8822,1729,2043
1784841159.8843,1727,2048
1784841159.8863,1736,2045
1784841159.8883,1742,2036
1784841159.8904,1741,2041
1784841159.8924,1740,2035
1784841159.8944,1741,2044
1784841159.8965,1745,2053
1784841159.8985,1727,2037
1784841159.9005,1726,2029
1784841159.9026,1727,2038
1784841159.9046,1734,2039
1784841159.9066,1738,2040
1784841159.9087,1734,2040
1784841159.9107,1729,2035
1784841159.9127,1748,2025
1784841159.9148,1745,2041
1784841159.9168,1733,2033
1784841159.9188,1715,2044
1784841159.9209,1727,2037
1784841159.9229,1736,2036
1784841159.9249,1732,2037
1784841159.9269,1731,2035
1784841159.9290,1740,2044
1784841159.9310,1745,2033
1784841159.9330,1743,2032
1784841159.9351,1736,2037
1784841159.9371,1736,2034
1784841159.9391,1726,2032
1784841159.9412,1727,2031
1784841159.9432,1726,2027
1784841159.9452,1732,2026
1784841159.9473,1741,2026
1784841159.9493,1743,2026
1784841159.9513,1734,2017
1784841159.9534,1741,2024
1784841159.9554,1740,2024
1784841159.9574,1749,2041
1784841159.9595,1727,2039
