host_time_s,chA_raw,chB_env,env,intent
1784851708.8179,0,0,0,0
1784851708.8195,0,0,0,0
1784851708.8212,0,0,0,0
1784851708.8229,0,0,0,0
1784851708.8246,0,0,0,0
1784851708.8262,0,0,0,0
1784851708.8279,0,0,0,0
1784851708.8299,0,0,0,0
1784851708.8320,0,0,0,0
1784851708.8340,0,0,0,0
1784851708.8360,0,0,0,0
1784851708.8380,0,0,0,0
1784851708.8400,0,0,0,0
1784851708.8420,0,0,0,0
1784851708.8439,0,0,0,0
1784851708.8458,0,0,0,0
1784851708.8477,0,0,0,0
1784851708.8496,0,0,0,0
1784851708.8515,0,0,0,0
1784851708.8534,0,0,0,0
1784851708.8553,0,0,0,0
1784851708.8576,0,0,0,0
1784851708.8599,0,0,0,0
1784851708.8622,0,0,0,0
1784851708.8645,0,0,0,0
1784851708.8668,0,0,0,0
1784851708.8691,0,0,0,0
1784851708.8714,0,0,0,0
1784851708.8732,0,0,0,0
1784851708.8749,0,0,0,0
1784851708.8767,0,0,0,0
1784851708.8785,0,0,0,0
1784851708.8802,0,0,0,0
1784851708.8820,0,0,0,0
1784851708.8838,0,0,0,0
1784851708.8858,0,0,0,0
1784851708.8878,0,0,0,0
1784851708.8899,0,0,0,0
1784851708.8919,0,0,0,0
1784851708.8939,0,0,0,0
1784851708.8960,0,0,0,0
1784851708.8980,0,0,0,0
1784851708.9000,0,0,0,0
1784851708.9021,0,0,0,0
1784851708.9041,0,0,0,0
1784851708.9061,0,0,0,0
1784851708.9081,0,0,0,0
1784851708.9102,0,0,0,0
1784851708.9122,0,0,0,0
1784851708.9142,0,0,0,0
1784851708.9163,0,0,0,0
1784851708.9183,0,0,0,0
1784851708.9203,0,0,0,0
1784851708.9224,0,0,0,0
1784851708.9244,0,0,0,0
1784851708.9264,0,0,0,0
1784851708.9285,0,0,0,0
1784851708.9305,0,0,0,0
1784851708.9325,0,0,0,0
1784851708.9345,0,0,0,0
1784851708.9366,0,0,0,0
1784851708.9386,0,0,0,0
1784851708.9406,0,0,0,0
1784851708.9427,0,0,0,0
1784851708.9447,0,0,0,0
1784851708.9467,0,0,0,0
1784851708.9488,0,0,0,0
1784851708.9508,0,0,0,0
1784851708.9528,0,0,0,0
1784851708.9548,0,0,0,0
1784851708.9569,0,0,0,0
1784851708.9589,0,0,0,0
1784851708.9609,0,0,0,0
1784851708.9630,0,0,0,0
1784851708.9650,0,0,0,0
1784851708.9670,0,0,0,0
1784851708.9691,0,0,0,0
1784851708.9711,0,0,0,0
1784851708.9731,0,0,0,0
1784851708.9751,0,0,0,0
1784851708.9772,0,0,0,0
1784851708.9792,0,0,0,0
1784851708.9812,0,0,0,0
1784851708.9833,0,0,0,0
1784851708.9853,0,0,0,0
1784851708.9873,0,0,0,0
1784851708.9894,0,0,0,0
1784851708.9914,0,0,0,0
1784851708.9934,0,0,0,0
1784851708.9954,0,0,0,0
1784851708.9975,0,0,0,0
1784851708.9995,0,0,0,0
1784851709.0015,0,0,0,0
1784851709.0036,0,0,0,0
1784851709.0056,0,0,0,0
1784851709.0076,0,0,0,0
1784851709.0097,0,0,0,0
1784851709.0117,0,0,0,0
1784851709.0137,0,0,0,0
1784851709.0154,0,0,0,0
1784851709.0171,0,0,0,0
1784851709.0188,0,0,0,0
1784851709.0205,0,0,0,0
1784851709.0222,0,0,0,0
1784851709.0240,0,0,0,0
1784851709.0257,0,0,0,0
1784851709.0277,0,0,0,0
1784851709.0298,0,0,0,0
1784851709.0318,0,0,0,0
1784851709.0339,0,0,0,0
1784851709.0359,0,0,0,0
1784851709.0380,0,0,0,0
1784851709.0400,0,0,0,0
1784851709.0420,0,0,0,0
1784851709.0440,0,0,0,0
1784851709.0459,0,0,0,0
1784851709.0479,0,0,0,0
1784851709.0499,0,0,0,0
