host_time_s,chA_raw,chB_env,env,intent
1784847496.0696,1728,4095,57,250
1784847496.0736,1749,4095,57,250
1784847496.0740,1603,4095,57,250
1784847496.0744,1616,4095,57,250
1784847496.0748,1647,4095,56,250
1784847496.0766,1661,4095,56,250
1784847496.0785,1676,4095,56,250
1784847496.0804,1688,4095,56,250
1784847496.0822,1700,4095,55,250
1784847496.0844,1719,4095,56,250
1784847496.0866,1730,4095,56,0
1784847496.0888,1687,4095,56,0
1784847496.0960,1578,4095,56,0
1784847496.0963,1598,4095,56,0
1784847496.0966,1635,4095,55,0
1784847496.0969,1654,4095,55,0
1784847496.1069,1655,4095,54,0
1784847496.1073,1671,4095,54,0
1784847496.1077,1689,4095,54,0
1784847496.1080,1713,4095,54,0
1784847496.1120,1703,4095,54,0
1784847496.1124,1658,4095,54,0
1784847496.1129,1535,4095,54,0
1784847496.1133,1574,4095,54,0
1784847496.1204,1597,4095,54,0
1784847496.1208,1620,4095,54,0
1784847496.1211,1646,4095,53,0
1784847496.1214,1655,4095,53,0
1784847496.1280,1673,4095,53,0
1784847496.1289,1684,4095,53,0
1784847496.1297,1702,4095,53,0
1784847496.1306,1640,4095,52,0
1784847496.1413,1530,4095,53,0
1784847496.1416,1563,4095,53,0
1784847496.1420,1585,4095,53,0
1784847496.1424,1605,4095,53,0
1784847496.1440,1629,4095,53,0
1784847496.1443,1651,4095,52,0
1784847496.1446,1675,4095,52,0
1784847496.1449,1691,4095,52,0
1784847496.1520,1695,4095,52,0
1784847496.1523,1635,4095,51,0
1784847496.1527,1526,4095,52,0
1784847496.1530,1551,4095,53,0
1784847496.1600,1580,4095,53,0
1784847496.1604,1607,4095,53,0
1784847496.1607,1633,4095,52,0
1784847496.1610,1659,4095,52,0
1784847496.1925,1662,4095,51,0
1784847496.1927,1691,4095,51,0
1784847496.1928,1714,4095,51,0
1784847496.1929,1719,4095,52,0
1784847496.1931,4095,4095,76,0
1784847496.1932,1478,4095,77,0
1784847496.1933,1555,4095,77,0
1784847496.1934,1587,4095,77,0
1784847496.1936,1602,4095,76,0
1784847496.1937,1622,4095,76,0
1784847496.1938,1645,4095,75,0
1784847496.1940,1669,4095,74,0
1784847496.1941,1681,4095,74,0
1784847496.1942,1615,4095,74,0
1784847496.1944,1502,4095,74,0
1784847496.1945,1535,4095,75,0
1784847496.2042,1571,4095,75,0
1784847496.2045,1593,4095,75,0
1784847496.2048,1619,4095,74,0
1784847496.2051,1646,4095,73,0
1784847496.2081,1660,4095,73,0
1784847496.2084,1681,4095,72,0
1784847496.2087,1702,4095,72,0
1784847496.2090,1646,4095,72,0
1784847496.2161,1517,4095,72,0
1784847496.2167,1533,4095,73,0
1784847496.2174,1562,4095,73,0
1784847496.2181,1615,4095,72,0
1784847496.2242,1649,4095,72,0
