host_time_s,chA_raw,chB_env,env,intent
1784847496.2245,1656,4095,71,0
1784847496.2249,1673,4095,70,0
1784847496.2252,1681,4095,70,0
1784847496.4924,1707,4095,70,0
1784847496.4924,1647,4095,69,0
1784847496.4924,1511,4095,70,0
1784847496.4924,1534,4095,70,0
1784847496.4925,1579,4095,70,0
1784847496.4925,1602,4095,70,0
1784847496.4925,1618,4095,70,0
1784847496.4925,1642,4095,69,0
1784847496.4925,1668,4095,69,0
1784847496.4925,1693,4095,68,0
1784847496.4925,1704,4095,68,0
1784847496.4925,1641,4095,68,0
1784847496.4925,1513,4095,68,0
1784847496.4925,1534,4095,69,0
1784847496.4925,1572,4095,69,0
1784847496.4925,1591,4095,69,0
1784847496.4925,1634,4095,68,0
1784847496.4926,1634,4095,68,0
1784847496.4926,1663,4095,67,0
1784847496.4926,1682,4095,67,0
1784847496.4926,1699,4095,67,0
1784847496.4926,1654,4095,66,0
1784847496.4926,1535,4095,66,0
1784847496.4926,1568,4095,67,0
1784847496.4926,1596,4095,66,0
1784847496.4926,1625,4095,66,0
1784847496.4926,1642,4095,65,0
1784847496.4926,1658,4095,65,0
1784847496.4926,1687,4095,65,0
1784847496.4926,1706,4095,64,0
1784847496.4927,1692,4095,64,0
1784847496.4927,2013,4095,67,0
1784847496.4927,1412,4095,69,0
1784847496.4927,1562,4095,69,0
1784847496.4927,1578,4095,69,0
1784847496.4927,1602,4095,69,0
1784847496.4927,1621,4095,68,0
1784847496.4927,1656,4095,68,0
1784847496.4927,1674,4095,67,0
1784847496.4927,1668,4095,67,0
1784847496.4927,1681,4095,67,0
1784847496.4927,1656,4095,66,0
1784847496.4927,1528,4095,67,0
1784847496.4928,1566,4095,67,0
1784847496.4928,1576,4095,67,0
1784847496.4928,1618,4095,66,0
1784847496.4928,1640,4095,66,0
1784847496.4928,1653,4095,65,0
1784847496.4928,1664,4095,65,0
1784847496.4928,1691,4095,64,0
1784847496.4928,1699,4095,64,0
1784847496.4928,2423,4095,71,0
1784847496.4928,1532,4095,72,0
1784847496.4928,1545,4095,72,0
1784847496.4928,1598,4095,72,0
1784847496.4929,1614,4095,72,0
1784847496.4929,1621,4095,71,0
1784847496.4929,1652,4095,70,0
1784847496.4929,1683,4095,70,0
1784847496.4929,1707,4095,70,0
1784847496.4929,1708,4095,70,0
1784847496.4929,1656,4095,69,0
1784847496.4929,1535,4095,70,0
1784847496.4929,1589,4095,70,0
1784847496.4929,1585,4095,69,0
1784847496.4929,1615,4095,69,0
1784847496.4929,1642,4095,68,0
1784847496.4929,1661,4095,68,0
1784847496.4930,1665,4095,67,0
1784847496.4930,1689,4095,67,0
1784847496.4930,1708,4095,67,0
1784847496.4930,1688,4095,67,0
1784847496.4930,1522,4095,67,0
1784847496.4930,1535,4095,68,0
1784847496.4930,1587,4095,68,0
1784847496.4930,1616,4095,67,0
1784847496.4930,1647,4095,67,0
1784847496.4930,1651,4095,66,0
1784847496.4930,1667,4095,66,0
1784847496.4930,1679,4095,65,0
1784847496.4930,1706,4095,65,0
1784847496.4931,1679,4095,65,0
1784847496.4931,1524,4095,65,0
1784847496.4931,1569,4095,66,0
1784847496.4931,1592,4095,65,0
1784847496.4931,1614,4095,65,0
1784847496.4931,1621,4095,65,0
1784847496.4931,1653,4095,64,0
1784847496.4931,1678,4095,64,0
1784847496.4931,1686,4095,64,0
1784847496.4931,1710,4095,63,0
1784847496.4931,1641,4095,63,0
1784847496.4931,1524,4095,64,0
1784847496.4931,1539,4095,64,0
1784847496.4932,1571,4095,64,0
1784847496.4932,1599,4095,64,0
1784847496.4932,1630,4095,64,0
1784847496.4932,1652,4095,63,0
1784847496.4932,1654,4095,62,0
1784847496.4932,1683,4095,62,0
1784847496.4932,1701,4095,62,0
1784847496.4932,1640,4095,61,0
1784847496.4932,1510,4095,62,0
1784847496.4932,1531,4095,63,0
1784847496.4932,1578,4095,63,0
1784847496.4932,1604,4095,63,0
1784847496.4932,1620,4095,62,0
1784847496.4933,1651,4095,62,0
1784847496.4933,1669,4095,61,0
1784847496.4933,1671,4095,61,0
1784847496.4933,1699,4095,61,0
1784847496.4933,2511,4095,69,0
1784847496.4933,1510,4095,69,0
1784847496.4933,1535,4095,70,0
1784847496.4933,1572,4095,70,0
1784847496.4933,1595,4095,70,0
1784847496.4933,1621,4095,69,0
1784847496.4933,1651,4095,69,0
1784847496.4933,1672,4095,68,0
1784847496.4933,1678,4095,68,0
1784847496.4934,1695,4095,68,0
1784847496.4934,1617,4095,67,0
1784847496.4934,1499,4095,68,0
1784847496.4934,1534,4095,69,0
1784847496.4934,1584,4095,68,0
1784847496.4934,1616,4095,68,0
1784847496.4934,1632,4095,68,0
1784847496.4934,1653,4095,67,0
1784847496.4934,1679,4095,67,0
1784847496.4934,1694,4095,66,0
1784847496.4934,1706,4095,66,0
1784847496.4934,1684,4095,66,0
1784847496.4959,1515,4095,67,0
1784847496.4961,1539,4095,67,0
1784847496.4963,1582,4095,67,0
1784847496.4965,1592,4095,67,0
1784847496.5040,1619,4095,67,0
1784847496.5042,1651,4095,66,0
1784847496.5044,1681,4095,66,0
1784847496.5046,1675,4095,65,0
1784847496.5119,1696,4095,65,0
1784847496.5121,1668,4095,65,0
1784847496.5122,1521,4095,65,0
1784847496.5124,1534,4095,66,0
1784847496.5200,1568,4095,66,0
1784847496.5202,1600,4095,66,0
1784847496.5204,1634,4095,65,0
1784847496.5207,1644,4095,64,0
1784847496.5279,1656,4095,64,0
1784847496.5281,1680,4095,64,0
1784847496.5282,1702,4095,63,0
1784847496.5284,1860,4095,65,0
1784847496.5359,1511,4095,66,0
1784847496.5361,1534,4095,66,0
1784847496.5362,1578,4095,66,0
1784847496.5364,1602,4095,66,0
1784847496.5440,1614,4095,66,0
1784847496.5442,1648,4095,65,0
1784847496.5443,1669,4095,65,0
1784847496.5445,1688,4095,64,0
1784847496.5519,1709,4095,64,0
1784847496.5521,2508,4095,72,0
1784847496.5522,1513,4095,73,0
1784847496.5524,1535,4095,73,0
1784847496.5665,1563,4095,73,0
1784847496.5686,1599,4095,73,0
1784847496.5707,1638,4095,73,0
1784847496.5727,1660,4095,72,0
1784847496.5760,1677,4095,71,0
1784847496.5792,1687,4095,71,0
1784847496.5825,1709,4095,71,0
1784847496.5858,1646,4095,70,0
1784847496.5860,1523,4095,71,0
1784847496.5862,1539,4095,71,0
1784847496.5864,1582,4095,71,0
1784847496.5866,1613,4095,71,0
1784847496.5869,1637,4095,70,0
1784847496.5871,1638,4095,70,0
1784847496.5873,1632,4095,69,0
1784847496.5875,1659,4095,69,0
1784847496.6116,1672,4095,68,0
1784847496.6120,1761,4095,68,0
1784847496.6123,1422,4095,70,0
1784847496.6126,1532,4095,71,0
1784847496.6129,1566,4095,71,0
1784847496.6132,1595,4095,70,0
1784847496.6135,1610,4095,70,0
1784847496.6138,1639,4095,70,0
1784847496.6142,1826,4095,71,0
1784847496.6145,1828,4095,72,0
1784847496.6148,1812,4095,73,0
1784847496.6151,1762,4095,73,0
1784847496.6159,1637,4095,72,0
1784847496.6161,1571,4095,72,0
1784847496.6163,1580,4095,72,0
1784847496.6165,1604,4095,72,0
1784847496.6362,1627,4095,72,0
1784847496.6363,1640,4095,71,0
1784847496.6364,1647,4095,70,0
1784847496.6365,1659,4095,70,0
1784847496.6366,1678,4095,69,0
1784847496.6367,1944,4095,72,0
1784847496.6368,1786,4095,72,0
1784847496.6369,1776,4095,73,0
1784847496.6399,1790,4095,73,0
1784847496.6401,1753,4095,74,0
1784847496.6402,1756,4095,74,0
1784847496.6404,1734,4095,74,0
1784847496.6589,1735,4095,74,0
1784847496.6616,1775,4095,75,0
1784847496.6643,1755,4095,75,0
1784847496.6670,1754,4095,75,0
1784847496.6697,1709,4095,75,0
1784847496.6724,1696,4095,75,0
1784847496.6751,1709,4095,75,0
1784847496.6778,1633,4095,74,0
1784847496.6797,1234,4095,78,0
1784847496.6815,1316,4095,80,0
1784847496.6833,1369,4095,82,0
1784847496.6851,1450,4095,83,0
1784847496.6869,1526,4095,84,0
1784847496.6887,1672,4095,83,0
1784847496.6905,1576,4095,83,0
1784847496.6923,1615,4095,82,0
1784847496.6941,1664,4095,82,0
1784847496.6959,1692,4095,81,0
1784847496.6977,1716,4095,81,0
1784847496.6978,1744,4095,81,0
1784847496.6979,1765,4095,82,0
1784847496.6980,1793,4095,82,0
1784847496.6981,1798,4095,83,404
1784847496.6982,1766,4095,83,404
1784847496.6984,1823,4095,84,404
1784847496.6985,1845,4095,85,404
1784847496.6988,2156,4095,90,404
1784847496.6991,1781,4095,90,404
1784847496.6995,1791,4095,90,404
1784847496.6998,1818,4095,91,404
1784847496.7022,1820,4095,92,404
1784847496.7047,1792,4095,93,404
1784847496.7072,1796,4095,93,515
1784847496.7105,1823,4095,94,515
1784847496.7138,1820,4095,95,515
1784847496.7171,1814,4015,95,515
1784847496.7204,1802,4095,96,515
1784847496.7237,1811,4095,97,515
1784847496.7270,1802,4095,97,515
1784847496.7303,1792,4095,98,515
1784847496.7336,1780,4094,98,515
1784847496.7369,1788,4082,98,515
1784847496.7402,1787,4086,99,576
1784847496.7435,1787,4086,99,576
1784847496.7436,1775,4049,99,576
1784847496.7437,1768,4040,99,576
1784847496.7438,1766,4013,100,576
1784847496.7439,1755,4012,100,576
1784847496.7441,1758,4000,100,576
1784847496.7442,1760,3986,100,576
1784847496.7443,1749,3973,100,576
1784847496.7458,1755,3973,100,576
1784847496.7473,1747,3998,100,590
1784847496.7488,1738,3944,100,590
1784847496.7507,1715,3933,99,590
1784847496.7527,1735,3919,99,590
1784847496.7546,1715,3916,99,590
1784847496.7565,1722,3910,99,590
1784847496.7620,1726,3884,98,590
1784847496.7675,1724,3875,98,590
1784847496.7730,1732,3865,98,590
1784847496.7731,1732,3852,98,590
1784847496.7733,1729,3856,98,565
1784847496.7735,1736,3829,98,565
1784847496.7737,1668,3773,97,565
1784847496.7748,1671,3811,96,565
1784847496.7759,1680,3814,95,565
1784847496.7770,1706,3786,95,565
1784847496.7876,1695,3789,94,565
1784847496.7879,1687,3774,94,565
1784847496.7881,1704,3813,93,565
1784847496.7884,1723,3749,93,565
1784847496.7891,1725,3759,93,514
1784847496.7899,1693,4095,93,514
1784847496.7906,1466,4095,93,514
1784847496.7914,1498,4095,94,514
1784847496.7945,1528,4095,94,514
1784847496.7976,1544,4095,94,514
1784847496.8007,1583,4095,94,514
1784847496.8019,1609,4095,94,514
1784847496.8031,1630,4095,93,514
1784847496.8043,1652,4095,92,514
1784847496.8055,1648,4095,91,492
1784847496.8123,1620,4095,90,492
1784847496.8192,1469,4095,91,492
1784847496.8261,1490,4095,92,492
1784847496.8272,1515,4095,92,492
1784847496.8284,1577,4095,92,492
1784847496.8295,1606,4095,92,492
1784847496.8306,1616,4095,91,492
1784847496.8318,1628,4095,90,492
1784847496.8329,1667,4095,90,492
1784847496.8341,1689,4095,89,472
1784847496.8372,1705,4095,89,472
1784847496.8404,1711,4095,89,472
1784847496.8435,3018,4095,101,472
1784847496.8466,1691,4095,101,472
1784847496.8481,1429,4095,102,472
1784847496.8495,1484,4095,103,472
1784847496.8510,1515,4095,103,472
1784847496.8524,1562,4095,103,472
1784847496.8539,1587,4095,102,472
1784847496.8553,1613,4095,102,609
1784847496.8568,3654,4095,121,609
1784847496.8571,1419,4095,122,609
1784847496.8574,1490,4095,122,609
1784847496.8577,1776,4095,122,609
1784847496.8587,1510,4095,122,609
1784847496.8596,1572,4095,122,609
1784847496.8606,1607,4095,121,609
1784847496.8623,1625,4095,120,609
1784847496.8641,1650,4095,119,609
1784847496.8659,1679,4095,118,790
1784847496.8677,1636,4095,117,790
1784847496.8698,1460,4095,118,790
1784847496.8719,1495,4095,118,790
1784847496.8740,1544,4095,118,790
1784847496.8764,1586,4095,117,790
1784847496.8789,1613,4095,117,790
1784847496.8813,1637,4095,116,790
1784847496.8829,1652,4095,114,790
1784847496.8845,1684,4095,114,790
1784847496.8861,1714,4095,113,735
1784847496.8877,1636,4095,112,735
1784847496.8899,1494,4095,113,735
1784847496.8921,1533,4095,113,735
1784847496.8943,1571,4095,112,735
1784847496.8967,1593,4095,112,735
1784847496.8990,1618,4095,111,735
1784847496.9014,1647,4095,110,735
1784847496.9275,1663,4095,109,735
1784847496.9276,1668,4095,108,735
1784847496.9277,1685,4095,107,670
1784847496.9278,1846,4095,108,670
1784847496.9279,1437,4095,109,670
1784847496.9280,1649,4095,108,670
1784847496.9281,1481,4095,109,670
1784847496.9282,1528,4095,109,670
1784847496.9282,1556,4095,109,670
1784847496.9283,1592,4095,108,670
1784847496.9284,1784,4095,108,670
1784847496.9285,1620,4095,108,670
1784847496.9286,1656,4095,107,663
1784847496.9287,1628,4095,106,663
1784847496.9312,1459,4095,107,663
1784847496.9336,1655,4095,106,663
1784847496.9361,1522,4095,106,663
1784847496.9377,1562,4095,106,663
1784847496.9393,1584,4095,105,663
1784847496.9409,1607,4095,105,663
1784847496.9425,1783,4095,105,663
1784847496.9452,1649,4095,104,663
1784847496.9479,1671,4095,103,623
1784847496.9506,1644,4095,102,623
1784847496.9522,1478,4095,103,623
1784847496.9539,1674,4095,102,623
1784847496.9555,1527,4095,102,623
1784847496.9574,1563,4095,102,623
1784847496.9593,1593,4095,101,623
1784847496.9612,1620,4095,101,623
1784847496.9631,1775,4095,101,623
1784847496.9650,1648,4095,100,623
1784847496.9668,1690,4095,99,584
1784847496.9687,1655,4095,98,584
1784847496.9706,1479,4095,99,584
1784847496.9725,1506,4095,100,584
1784847496.9744,1557,4095,100,584
1784847496.9762,1588,4095,99,584
1784847496.9791,1610,4095,99,584
1784847496.9821,1620,4095,98,584
1784847496.9850,1839,4095,99,584
1784847496.9865,1655,4095,98,584
1784847496.9880,1674,4095,97,559
1784847496.9895,1891,4095,99,559
1784847496.9910,1436,4095,100,559
1784847496.9937,1692,4095,99,559
1784847496.9964,1501,4095,100,559
1784847496.9991,1531,4095,100,559
1784847497.0015,1557,4095,100,559
1784847497.0038,1589,4095,99,559
1784847497.0062,1741,4095,99,559
1784847497.0085,1627,4095,98,559
1784847497.0092,1652,4095,97,563
1784847497.0098,4052,4095,121,563
1784847497.0105,1312,4095,123,563
1784847497.0123,1672,4095,122,563
1784847497.0142,1480,4095,122,563
1784847497.0160,1520,4095,122,563
1784847497.0179,1534,4095,122,563
1784847497.0204,1786,4095,122,563
1784847497.0229,1806,4095,123,563
1784847497.0254,1601,4095,122,563
1784847497.0273,1636,4095,121,820
1784847497.0292,1555,4095,121,820
1784847497.0310,1390,4095,122,820
1784847497.0334,1679,4095,121,820
1784847497.0357,1489,4095,121,820
1784847497.0381,1520,4095,121,820
1784847497.0404,1520,4095,122,820
1784847497.0416,1555,4095,121,820
1784847497.0428,1840,4095,122,820
1784847497.0440,1616,4095,121,820
1784847497.0466,1646,4095,120,810
1784847497.0491,1609,4095,119,810
1784847497.0517,1442,4095,120,810
1784847497.0532,1475,4095,121,810
1784847497.0547,1521,4095,121,810
1784847497.0562,1570,4095,120,810
1784847497.0577,1612,4095,119,810
1784847497.0599,1625,4095,118,810
1784847497.0621,1837,4095,119,810
1784847497.0643,1627,4095,118,810
1784847497.0667,1660,4095,117,779
1784847497.0690,1669,4095,116,779
1784847497.0713,3511,4095,134,779
1784847497.0772,1518,4095,134,779
1784847497.0774,1459,4095,134,779
1784847497.0776,1515,4095,134,779
1784847497.0778,1531,4095,134,779
1784847497.0801,1551,4095,134,779
1784847497.0823,1792,4095,134,779
1784847497.0846,1594,4095,133,779
1784847497.0863,1636,4095,132,939
1784847497.0880,1584,4095,131,939
1784847497.0898,1441,4095,132,939
1784847497.0915,1587,4095,131,939
1784847497.0937,1514,4095,131,939
1784847497.0960,1547,4095,131,939
1784847497.0982,1585,4095,130,939
1784847497.1004,1701,4095,129,939
1784847497.1025,1800,4095,130,939
1784847497.1047,1643,4095,128,939
1784847497.1064,1655,4095,127,889
1784847497.1081,1708,4095,126,889
1784847497.1098,1478,4095,127,889
1784847497.1115,1681,4095,126,889
1784847497.1144,1527,4095,126,889
1784847497.1173,1587,4095,125,889
1784847497.1202,1590,4095,125,889
1784847497.1230,1615,4095,124,889
1784847497.1259,1795,4095,124,889
1784847497.1288,1647,4095,123,889
1784847497.1298,1679,4095,122,830
1784847497.1307,1686,4095,121,830
1784847497.1316,1691,4095,120,830
1784847497.1326,1536,4095,120,830
1784847497.1345,1528,4095,120,830
1784847497.1364,1571,4095,120,830
1784847497.1383,1587,4095,119,830
1784847497.1407,1606,4095,118,830
1784847497.1432,1634,4095,117,830
1784847497.1456,1664,4095,116,830
1784847497.1480,1684,4095,115,760
1784847497.1505,1614,4095,115,760
1784847497.1529,1501,4095,115,760
1784847497.1553,1560,4095,115,760
1784847497.1565,1575,4095,114,760
1784847497.1576,1722,4095,114,760
1784847497.1587,1605,4095,113,760
1784847497.1613,1758,4095,113,760
1784847497.1640,1750,4095,113,760
1784847497.1666,1767,4095,113,760
1784847497.1692,1657,4095,112,722
1784847497.1701,1721,4095,112,722
1784847497.1711,1465,4095,112,722
1784847497.1720,1633,4095,111,722
1784847497.1744,1523,4095,111,722
1784847497.1767,1574,4095,111,722
1784847497.1791,1597,4095,110,722
1784847497.1809,1602,4095,110,722
1784847497.1828,1744,4095,110,722
1784847497.1846,1638,4095,109,722
1784847497.1864,1654,4095,108,675
1784847497.1890,1898,4095,109,675
1784847497.1915,1486,4095,110,675
1784847497.1941,1640,4095,109,675
1784847497.1967,1541,4095,109,675
1784847497.1992,1571,4095,108,675
1784847497.2018,1594,4095,108,675
1784847497.2051,1621,4095,107,675
1784847497.2054,1769,4095,107,675
1784847497.2056,1650,4095,106,675
1784847497.2059,1666,4095,105,647
1784847497.2081,1670,4095,104,647
1784847497.2104,1517,4095,105,647
1784847497.2126,1539,4095,105,647
1784847497.2148,1577,4095,104,647
1784847497.2171,1602,4095,104,647
1784847497.2193,1641,4095,103,647
1784847497.2216,1646,4095,102,647
1784847497.2238,1797,4095,102,647
1784847497.2260,1683,4095,102,647
1784847497.2283,1709,4095,101,603
1784847497.2300,1656,4095,100,603
1784847497.2318,1651,4095,99,603
1784847497.2336,1683,4095,98,603
1784847497.2394,1562,4095,98,603
1784847497.2397,1589,4095,98,603
1784847497.2399,1599,4095,98,603
1784847497.2402,1622,4095,97,603
1784847497.2426,1768,4095,97,603
1784847497.2449,1655,4095,96,603
1784847497.2473,1679,4095,95,540
1784847497.2496,1645,4095,95,540
1784847497.2512,1526,4095,95,540
1784847497.2528,1673,4095,94,540
1784847497.2543,1578,4095,94,540
1784847497.2562,1606,4095,93,540
1784847497.2582,1617,4095,93,540
1784847497.2601,1638,4095,92,540
1784847497.2620,1783,4095,92,540
1784847497.2644,1660,4095,91,540
1784847497.2668,1688,4095,91,491
1784847497.2692,1677,4095,90,491
1784847497.2709,1559,4095,90,491
1784847497.2727,1623,4095,90,491
1784847497.2745,1593,4095,89,491
1784847497.2762,1623,4095,89,491
1784847497.2796,1639,4095,88,491
1784847497.2830,1657,4095,87,491
1784847497.2864,1794,4095,88,491
1784847497.2873,1683,4095,87,491
1784847497.2882,1703,4095,87,446
1784847497.2891,1749,4095,87,446
1784847497.2900,1535,4095,87,446
1784847497.2932,1569,4095,87,446
1784847497.2964,1592,4095,87,446
1784847497.2996,1613,4095,86,446
1784847497.3035,1644,4095,85,446
1784847497.3037,1651,4095,85,446
1784847497.3039,1733,4095,85,446
1784847497.3041,1685,4095,84,446
1784847497.3064,1702,4095,84,413
1784847497.3088,1710,4095,84,413
1784847497.3112,3706,4095,103,413
1784847497.3184,1605,4095,103,413
1784847497.3187,1568,4095,102,413
1784847497.3190,1587,4095,102,413
1784847497.3192,1601,4095,102,413
1784847497.3215,1617,4095,101,413
1784847497.3238,1768,4095,101,413
1784847497.3261,1655,4095,100,413
1784847497.3275,1678,4095,99,584
1784847497.3289,1620,4095,99,584
1784847497.3304,1499,4095,99,584
1784847497.3318,1683,4095,98,584
1784847497.3349,1560,4095,98,584
1784847497.3380,1590,4095,98,584
1784847497.3411,1598,4095,98,584
1784847497.3427,1619,4095,97,584
1784847497.3444,1736,4095,97,584
1784847497.3460,1667,4095,96,584
1784847497.3477,1674,4095,95,538
1784847497.3513,1641,4095,94,538
1784847497.3549,1615,4095,94,538
1784847497.3584,1712,4095,93,538
1784847497.3594,1560,4095,93,538
1784847497.3596,1586,4095,93,538
1784847497.3599,1589,4095,93,538
1784847497.3601,1621,4095,92,538
1784847497.3622,1856,4095,93,538
1784847497.3644,1645,4095,92,538
1784847497.3665,1655,4095,92,498
1784847497.3687,1679,4095,91,498
1784847497.3708,1679,4095,90,498
1784847497.3730,2700,4095,100,498
1784847497.3752,1510,4095,100,498
1784847497.3778,1558,4095,100,498
1784847497.3803,1609,4095,100,498
1784847497.3829,1604,4095,99,498
1784847497.3842,1865,4095,100,498
1784847497.3855,1615,4095,100,498
1784847497.3868,1655,4095,99,575
1784847497.3881,1850,4095,100,575
1784847497.3902,1467,4095,100,575
1784847497.3923,1779,4095,101,575
1784847497.3945,1503,4095,101,575
1784847497.3963,1532,4095,101,575
1784847497.3981,1563,4095,101,575
1784847497.3999,1598,4095,101,575
1784847497.4017,1940,4095,103,575
1784847497.4038,1607,4095,102,575
1784847497.4059,1645,4095,101,602
1784847497.4079,1618,4095,100,602
1784847497.4101,1485,4095,101,602
1784847497.4123,1849,4095,102,602
1784847497.4145,1513,4095,102,602
1784847497.4162,1570,4095,102,602
1784847497.4180,1585,4095,102,602
1784847497.4197,1601,4095,101,602
1784847497.4214,1977,4095,103,602
1784847497.4237,1619,4095,103,602
1784847497.4260,1654,4095,102,609
1784847497.4282,2701,4095,111,609
1784847497.4304,1478,4095,112,609
1784847497.4325,1887,4095,113,609
1784847497.4346,1514,4095,113,609
1784847497.4365,1573,4095,113,609
1784847497.4383,1579,4095,112,609
1784847497.4401,1594,4095,112,609
1784847497.4419,2009,4095,114,609
1784847497.4441,1615,4095,114,609
1784847497.4463,1643,4095,112,728
1784847497.4485,1593,4095,112,728
1784847497.4501,1487,4095,112,728
1784847497.4517,1535,4095,112,728
1784847497.4533,1572,4095,112,728
1784847497.4549,1585,4095,112,728
1784847497.4573,1642,4095,111,728
1784847497.4596,1649,4095,110,728
1784847497.4619,2030,4095,112,728
1784847497.4642,1619,4095,111,728
1784847497.4666,1665,4095,110,706
1784847497.4689,1625,4095,110,706
1784847497.4713,1528,4095,110,706
1784847497.4736,1776,4095,110,706
1784847497.4760,1535,4095,110,706
1784847497.4783,1602,4095,109,706
1784847497.4797,1611,4095,109,706
1784847497.4811,1634,4095,108,706
1784847497.4825,2038,4095,110,706
1784847497.4849,1640,4095,109,706
1784847497.4874,1661,4095,108,684
1784847497.4898,1642,4095,107,684
1784847497.4945,1652,4095,106,684
1784847497.4991,1875,4095,108,684
1784847497.5038,1499,4095,108,684
1784847497.5085,1539,4095,108,684
1784847497.5086,1536,4095,108,684
1784847497.5087,1573,4095,108,684
1784847497.5088,2030,4095,110,684
1784847497.5089,1585,4095,110,684
1784847497.5090,1619,4095,109,693
1784847497.5091,1603,4095,109,693
1784847497.5152,1486,4095,109,693
1784847497.5154,1958,4095,111,693
1784847497.5156,1490,4095,112,693
1784847497.5158,1536,4095,112,693
1784847497.5194,1582,4095,111,693
1784847497.5229,1609,4095,111,693
1784847497.5264,1871,4095,112,693
1784847497.5272,1619,4095,111,693
1784847497.5279,1661,4095,110,699
1784847497.5287,1651,4095,109,699
1784847497.5295,1641,4095,108,699
1784847497.5319,2516,4095,115,699
1784847497.5342,1534,4095,115,699
1784847497.5366,1575,4095,115,699
1784847497.5388,1593,4095,114,699
1784847497.5410,1613,4095,114,699
1784847497.5431,1653,4095,112,699
1784847497.5451,1687,4095,112,699
1784847497.5471,1679,4095,111,710
1784847497.5491,1662,4095,110,710
1784847497.5511,1540,4095,110,710
1784847497.5530,1591,4095,109,710
1784847497.5550,1612,4095,109,710
1784847497.5570,1887,4095,110,710
1784847497.5593,1609,4095,109,710
1784847497.5615,1886,4095,110,710
1784847497.5638,1631,4095,110,710
1784847497.5660,1946,4095,111,710
1784847497.5683,1639,4095,110,705
1784847497.5705,4095,4095,134,705
1784847497.5728,1243,4095,136,705
1784847497.5741,1793,4095,137,705
1784847497.5753,1338,4095,138,705
1784847497.5766,1414,4095,139,705
1784847497.5782,1447,4095,140,705
1784847497.5798,1432,4095,141,705
1784847497.5814,1733,4095,140,705
1784847497.5830,1476,4095,140,705
1784847497.5855,1998,4095,142,1000
1784847497.5880,1916,4095,144,1000
1784847497.5905,1320,4095,146,1000
1784847497.5925,1874,4095,146,1000
1784847497.5945,1387,4095,148,1000
1784847497.5966,1451,4095,148,1000
1784847497.5985,1461,4095,148,1000
1784847497.6005,1496,4095,149,1000
1784847497.6025,2052,4095,151,1000
1784847497.6047,1528,4095,151,1000
1784847497.6068,1584,4095,150,1000
1784847497.6090,1539,4095,150,1000
1784847497.6106,1500,4095,150,1000
1784847497.6122,1525,4095,149,1000
